ID Product,Product Description,ID Product Category,Own Brand
53425,ARROZ AGULHA MASTERCHEF 5 KG,ARROZ,1
370149,CENOURA SC10KG (CAL25/40) RCH,LEGUMES FRESCOS,1
578318,OLEO ALIMENTAR MCHEF 10 LT,ÓLEOS,1
621958,LEITE MCHEF UHT M/GORDO LT,LEITE UHT REGULAR,1
659149,FARINHA AMANH S/FERMENTO 1KG,FARINHAS,0
665738,VINAGRE AMANHECER DE VINHO BRANCO 1000M,VINAGRES,1
733725,OVO AGRO OVO M 15DUZ IND,OVOS GAIOLA,0
879894,ACUCAR AMANH BCO PAP KG,AÇÚCAR,0
890937,LIXIVIA MCHEF TRADICIONAL 5LT,LIXÍVIAS TRADICIONAIS,1
915237,DET LOICA MCHEF 5LT,DETERGENTE LOIÇA,1
