Client ID,ZIP Code,ID Client Type
210100005,4100,Hotelaria
210100012,4050,
210100033,4300,Hotelaria
210100051,4465,Coletiva/Instituição/Cantina
210100096,4100,
210100160,4100,
210100167,4200,Coletiva/Instituição/Cantina
210100182,4050,Catering
210100213,4570,
210100239,4515,
210100254,4150,
210100263,4425,Café/Pastelaria
210100281,4400,Café/Pastelaria
210100314,4150,Coletiva/Instituição/Cantina
210100319,4490,Catering
210100349,2485,
210100362,4480,Hotelaria
210100369,4000,
210100374,4515,
210100410,4485,Hotelaria
210100424,4050,
210100455,4400,
210100458,4450,
210100460,4150,Coletiva/Instituição/Cantina
210100474,4300,Coletiva/Instituição/Cantina
210100477,4150,
210100489,4200,Café/Pastelaria
210100500,4100,
210100505,4400,
210100545,4200,Coletiva/Instituição/Cantina
210100673,4450,
210100674,4505,
210100675,4505,
210100701,4485,
210100727,4050,
210100738,4050,
210100742,4490,
210100776,1100,
210100804,4470,
210100848,4435,
210100852,4490,
210100861,4400,
210100877,4400,
210100888,4100,Hotelaria
210100916,4400,Hotelaria
210100928,4490,
210100939,4000,
210100970,4050,
210101007,4150,
210101017,4435,
210101041,4400,
210101057,4350,
210101146,4300,
210101149,4049,Hotelaria
210101214,4465,
210101219,4450,
210101223,4470,
210101257,4050,
210101274,4350,
210101285,4000,
210101290,4450,Coletiva/Instituição/Cantina
210101320,4150,Hotelaria
210101342,4450,
210101346,4200,
210101388,4400,
210101443,4760,Restaurante - Cozinha Portuguesa
210101488,4485,
210101502,4050,
210101521,4410,
210101523,2414,
210101529,4350,
210101534,4400,
210101550,4100,
210101574,4400,
210101588,4050,Restaurante - Cozinha Portuguesa
210101628,4100,
210101629,4465,
210101632,4465,
210101636,4200,
210101642,4050,
210101644,4050,
210101659,4470,Hotelaria
210101666,4050,
210101668,4000,
210101669,4200,
210101678,4760,Coletiva/Instituição/Cantina
210101681,4100,
210101707,4150,
210101735,3800,
210101746,4490,Hotelaria
210101774,4100,
210101779,4760,Coletiva/Instituição/Cantina
210101784,4050,Coletiva/Instituição/Cantina
210101817,4150,
210101818,4050,
210101821,4100,
210101843,4100,Hotelaria
210101851,4460,
210101859,4400,
210101867,4460,
210101868,4430,Restaurante - Cozinha Portuguesa
210101873,4485,Coletiva/Instituição/Cantina
210101891,4000,
210101898,4760,Coletiva/Instituição/Cantina
210101944,4150,Coletiva/Instituição/Cantina
210101946,3700,
210101961,4420,
210101963,4200,Coletiva/Instituição/Cantina
210101967,4740,
210101974,4050,
210102001,4150,
210102014,4000,
210102042,4100,Coletiva/Instituição/Cantina
210102047,4760,
210102058,4450,
210102063,4450,
210102065,4450,
210102067,4450,
210102074,4450,
210102075,4430,Coletiva/Instituição/Cantina
210102076,4450,
210102103,4445,
210102104,4000,
210102107,4580,
210102108,4740,Hotelaria
210102120,4050,Hotelaria
210102123,4050,
210102135,4050,
210102138,4465,Hotelaria
210102139,4490,Bar/Discoteca
210102170,4740,Hotelaria
210102175,4150,
210102196,4760,
210102248,4000,Hotelaria
210102249,4825,Café/Pastelaria
210102259,4450,
210102310,4450,
210102323,4490,Hotelaria
210102326,4200,Coletiva/Instituição/Cantina
210102359,4000,
210102371,4200,
210102384,4450,
210102392,4150,
210102402,4300,
210102406,4455,
210102413,4050,
210102414,4760,
210102441,4450,
210102450,4400,Hotelaria
210102461,4350,
210102462,4300,
210102463,4300,
210102472,4100,
210102477,4000,
210102488,4475,
210102517,4050,Coletiva/Instituição/Cantina
210102543,4465,
210102576,4100,
210102600,4350,Coletiva/Instituição/Cantina
210102621,4440,
210102627,4455,
210102638,4465,Café/Pastelaria
210102642,4200,
210102648,3700,Catering
210102665,4470,Hotelaria
210102672,4470,
210102681,4000,
210102689,4470,
210102710,4470,Hotelaria
210102724,4450,
210102737,4450,
210102746,1349,
210102747,4460,
210102750,4150,
210102757,4460,Restaurante - Cozinha Portuguesa
210102758,2610,
210102767,4470,
210102770,4250,
210102771,4465,
210102791,4465,Coletiva/Instituição/Cantina
210102794,4400,
210102809,4150,
210102816,4405,
210102835,2665,
210102839,4200,Hotelaria
210102840,4050,
210102841,4050,
210102848,4490,Coletiva/Instituição/Cantina
210102853,4150,
210102861,4100,
210102862,4100,
210102866,4150,
210102867,4150,Hotelaria
210102870,4740,
210102876,4740,
210102903,4050,
210102904,4050,Hotelaria
210102913,4435,Padaria/Pastelaria
210102925,4450,
210102956,4050,
210102965,4100,Restaurante - Cozinha Portuguesa
210102966,4560,Hotelaria
210102968,4450,
210102973,4450,
210102979,4435,Coletiva/Instituição/Cantina
210102992,4150,
210102993,4415,
210103015,4000,Restaurante - Chinês
210103022,4050,Hotelaria
210103023,4150,
210103024,4000,
210103032,4400,
210103033,4400,
210103037,4400,
210103039,4300,
210103041,4740,
210103045,4470,Padaria/Pastelaria
210103046,4430,
210103050,4415,
210103051,4510,Coletiva/Instituição/Cantina
210103056,4050,
210103060,4430,Coletiva/Instituição/Cantina
210103096,4465,Hotelaria
210103102,4420,
210103107,4450,Catering
210103114,4250,
210103116,3700,
210103121,4300,
210103126,4470,
210103127,4420,
210103129,4050,
210103140,4050,
210103141,4050,Hotelaria
210103142,4050,
210103143,4050,
210103144,4050,
210103145,4050,
210103146,4050,
210103163,4050,
210103164,4050,
210103165,4050,
210103166,4050,
210103175,4050,
210103178,4050,
210103180,4050,
210103184,4050,
210103185,4050,
210103186,4050,Hotelaria
210103188,4050,
210103203,4050,
210103206,4050,
210103214,4435,Hotelaria
210103231,4404,Restaurante - Cozinha Portuguesa
210103249,4445,
210103255,4050,
210103263,4455,
210103270,4490,
210103283,4000,
210103286,4050,
210103294,4450,
210103295,4450,
210103301,4400,
210103306,4150,
210103316,4480,
210103325,4450,
210103327,4000,
210103341,4150,
210103353,4100,Catering
210103356,4100,Restaurante - Cozinha Portuguesa
210103357,4100,
210103360,4050,Hotelaria
210103361,4050,Hotelaria
210103363,4050,Hotelaria
210103364,4050,Hotelaria
210103366,4050,Hotelaria
210103367,4050,Hotelaria
210103369,4050,Hotelaria
210103380,4050,
210103381,4050,
210103392,4050,
210103396,4050,
210103401,4050,
210103402,4050,
210103403,4050,Hotelaria
210103406,4050,Restaurante - Cozinha Portuguesa
210103421,4050,
210103422,4050,
210103423,4050,
210103425,4050,Hotelaria
210103442,4450,
210103452,4400,
210103461,4050,
210103463,4100,
210103488,4050,
210103497,4050,
210103505,4785,
210103509,4300,Hotelaria
210103514,4570,Restaurante - Cozinha Portuguesa
210103526,4400,
210103535,4410,
210103542,4400,Catering
210103545,4150,Café/Pastelaria
210103554,3810,
210103555,4500,
210103562,2420,
210103569,4470,Hotelaria
210103570,4000,Hotelaria
210103573,4050,
210103577,4000,
210103579,4050,Bar/Discoteca
210103581,4250,
210103582,4450,
210103588,4470,
210103589,2665,
210103593,4450,
210103595,4475,
210103604,4490,
210103609,4490,
210103614,4460,
210103615,4000,
210103616,4350,
210103618,4435,
210103619,4400,Coletiva/Instituição/Cantina
210103620,4450,Coletiva/Instituição/Cantina
210103621,4400,
210103627,4050,
210103630,4450,
210103632,4490,
210103638,4200,
210103640,4435,Catering
210103644,4150,
210103645,4050,Hotelaria
210103648,4050,Hotelaria
210103649,4050,Hotelaria
210103651,4050,Hotelaria
210103658,4050,
210103659,4050,
210103660,4050,
210103661,4050,
210103662,4050,
210103664,4050,
210103665,4050,Hotelaria
210103666,5040,
210103668,4050,
210103669,4050,
210103671,4050,
210103673,4050,
210103674,4050,
210103677,4050,
210103678,4050,Hotelaria
210103679,4050,
210103681,4050,
210103682,4050,
210103687,4425,
210103689,4560,Hotelaria
210103706,4000,
210103707,4050,Hotelaria
210103708,4050,Hotelaria
210103715,4785,
210103732,4430,
210103738,4740,Hotelaria
210103739,4000,
210103744,4535,
210103747,4535,Hotelaria
210103748,4535,
210103751,4760,Restaurante - Cozinha Portuguesa
210103757,4450,
210103758,4450,
210103770,4050,Hotelaria
210103771,4000,
210103776,4455,Restaurante - Cervejaria
210103778,4430,
210103781,4590,Coletiva/Instituição/Cantina
210103783,4050,
210103792,4000,
210103796,4150,
210103798,4000,
210103801,4420,
210103804,4150,
210103805,4050,
210103816,4760,
210103819,4470,Restaurante - Cozinha Portuguesa
210103824,4445,
210103828,4740,
210103830,4455,
210103835,4050,
210103836,4050,
210103845,4050,
210103846,4050,
210103847,4050,
210103848,4050,
210103849,4050,
210103867,4050,
210103868,4050,
210103869,4050,
210103870,4050,
210103878,4050,
210103879,4050,
210103880,4050,
210103881,4050,
210103882,4050,
210103883,4050,
210103887,4050,
210103888,4050,
210103889,4050,
210103899,4050,
210103901,4050,
210103902,4050,
210103903,4050,
210103907,4050,
210103908,4050,
210103909,4050,
210103910,4050,
210103912,4050,Hotelaria
210103913,4050,
210103914,4050,
210103915,4050,
210103916,4050,
210103918,4050,
210103919,4050,Hotelaria
210103920,4050,
210103922,4050,
210103923,4050,
210103930,4050,
210103931,4050,
210103936,4450,
210103937,4430,
210103944,4400,
210103950,4465,
210103951,4425,Restaurante - Cozinha Portuguesa
210103952,4485,
210103953,4440,
210103954,4440,
210103960,4700,
